budget,genres,popularity,release_date,revenue,runtime,title,vote_average
237000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",150.437577,10-12-2009,2787965087,162,Avatar,7.2
300000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",139.082615,19-05-2007,961000000,169,Pirates of the Caribbean: At World's End,6.9
245000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",107.376788,26-10-2015,880674609,148,Spectre,6.3
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",112.31295,16-07-2012,1084939099,165,The Dark Knight Rises,7.6
260000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",43.926995,07-03-2012,284139100,132,John Carter,6.1
258000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",115.699814,01-05-2007,890871626,139,Spider-Man 3,5.9
260000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",48.681969,24-11-2010,591794936,100,Tangled,7.4
280000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",134.279229,22-04-2015,1405403694,141,Avengers: Age of Ultron,7.3
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",98.885637,07-07-2009,933959197,153,Harry Potter and the Half-Blood Prince,7.4
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",155.790452,23-03-2016,873260194,151,Batman v Superman: Dawn of Justice,5.7
270000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",57.925623,28-06-2006,391081192,154,Superman Returns,5.4
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",107.928811,30-10-2008,586090727,106,Quantum of Solace,6.1
